Kunta;Vuosi;Kunta id;yht;a_asuminen;p_palvelut;y_yleiset_rakennukset;c_keskustatoiminnot;k_liikkeet_toimistot;t_teollisuus;v_virkistys;r_loma_ja_matkailualueet;l_liikenne;e_erityisalueet;s_suojelu;m_maa_metsatalous;v_vesialueet
Pirkkala;2011;604;227708;30227;0;11771;0;99271;86439;0;0;0;0;0;0;0
Tampere;2011;837;530715;373823;9920;-40698;62000;75928;35248;470;0;10250;3774;0;0;0
Vesilahti;2011;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2011;980;47064;-6600;0;11118;0;0;42546;0;0;0;0;0;0;0
Kangasala;2012;211;24050;29178;0;-5937;0;0;229;0;0;0;580;0;0;0
Lempäälä;2012;418;-51395;7201;0;9791;0;0;-68687;300;0;0;0;0;0;0
Nokia;2012;536;299737;13862;0;25054;0;32751;228220;0;0;0;-150;0;0;0
Orivesi;2012;562;9975;4150;0;5825;0;0;0;0;0;0;0;0;0;0
Pirkkala;2012;604;3200;2000;0;0;0;5500;-4300;0;0;0;0;0;0;0
Tampere;2012;837;113509;72083;15000;-1083;0;16919;-11132;-888;0;-2117;24727;0;0;0
Vesilahti;2012;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2012;980;31150;12970;0;0;0;18180;0;0;0;0;0;0;0;0
Kangasala;2013;211;24390;19515;1200;3180;0;-1005;1350;0;0;150;0;0;0;0
Lempäälä;2013;418;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nokia;2013;536;38156;138;0;8253;0;-80;29845;0;0;0;0;0;0;0
Orivesi;2013;562;5730;5730;0;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2013;604;71662;65170;0;8752;0;-2260;0;0;0;0;0;0;0;0
Tampere;2013;837;240345;231361;4165;7080;0;-5972;-2399;0;0;5700;410;0;0;0
Vesilahti;2013;922;52406;47266;0;5105;0;35;0;0;0;0;0;0;0;0
Ylöjärvi;2013;980;46360;36660;2000;0;0;7400;0;300;0;0;0;0;0;0
Kangasala;2014;211;85626;60430;0;4426;0;0;20740;0;0;30;0;0;-;0
Lempäälä;2014;418;47367;33049;0;14318;0;0;0;-;0;-;-;0;-;-
Nokia;2014;536;6957;7311;0;-178;0;-27162;26986;-;0;-;-;0;-;0
Orivesi;2014;562;3070;5270;0;-2200;0;0;0;-;0;-;0;0;0;0
Pirkkala;2014;604;57756;17400;0;-5827;0;0;46183;-;0;-;-;0;0;-
Tampere;2014;837;306302;316548;-1000;9880;32420;357;-95756;230;0;41840;1783;0;0;-
Vesilahti;2014;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2014;980;79280;1778;0;5100;0;-2000;74462;-;0;-60;-;0;0;0
Kangasala;2015;211;38408;25912;0;3000;0;8129;1367;0;0;0;0;0;0;0
Lempäälä;2015;418;14340;4240;0;10100;0;0;0;0;0;0;0;0;0;0
Nokia;2015;536;167634;151680;2791;11530;0;0;0;0;0;0;1633;0;0;0
Orivesi;2015;562;250;0;250;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2015;604;11890;2800;0;9090;0;0;0;0;0;0;0;0;0;0
Tampere;2015;837;561724;241759;3815;171394;40700;148370;-71834;30;0;27220;270;0;0;0
Vesilahti;2015;922;7829;7829;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2015;980;83910;6605;-19860;0;0;500;96665;0;0;0;0;0;0;0
Kangasala;2016;211;29360;24440;0;10400;0;-9987;1407;0;0;-1900;5000;0;0;0
Lempäälä;2016;418;27564;19963;0;0;14000;-2299;-8800;-100;0;4160;640;0;0;0
Nokia;2016;536;3038;21877;0;-6449;0;10113;-22503;0;0;0;0;0;0;0
Orivesi;2016;562;4880;4880;0;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2016;604;121911;0;0;0;0;31323;90588;0;0;0;0;0;0;0
Tampere;2016;837;543928;167600;1765;35328;0;154091;57236;-465;0;40008;88365;0;0;0
Vesilahti;2016;922;685;750;0;0;0;0;0;0;-65;0;0;0;0;0
Ylöjärvi;2016;980;215040;48180;2820;-3300;0;141200;19140;7000;0;0;0;0;0;0
Kangasala;2017;211;261540;26079;0;2500;0;51466;88380;0;0;20152;72963;0;0;0
Lempäälä;2017;418;53581;49996;0;0;0;0;3515;0;0;0;0;0;70;0
Nokia;2017;536;1239;0;0;0;0;0;1239;0;0;0;0;0;0;0
Orivesi;2017;562;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2017;604;22307;23750;0;-5643;10200;0;-6000;0;0;0;0;0;0;0
Tampere;2017;837;375422;345624;0;8150;0;10932;-18150;30;0;16136;12700;0;0;0
Vesilahti;2017;922;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2017;980;40;0;0;0;0;0;0;0;0;0;40;0;0;0
Kangasala;2018;211;30162;15958;700;5184;0;-1150;9170;0;0;300;0;0;0;0
Lempäälä;2018;418;75546;958;0;2095;0;20474;52086;0;0;0;-67;0;0;0
Nokia;2018;536;45988;0;0;5578;0;-28812;25922;0;0;0;43300;0;0;0
Orivesi;2018;562;17366;2350;0;0;0;6128;8872;0;0;16;0;0;0;0
Pirkkala;2018;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tampere;2018;837;311143;69567;0;-23227;0;141868;114821;0;0;1580;6534;0;0;0
Vesilahti;2018;922;2005;2005;0;0;0;0;0;0;0;0;0;0;0;0
Ylöjärvi;2018;980;20337;20337;0;0;0;0;0;0;0;0;0;0;0;0
Kangasala;2019;211;346194;142151;0;20052;64200;100800;18991;0;0;0;0;0;0;0
Lempäälä;2019;418;1855;17119;0;-6114;0;0;-9450;0;0;0;300;0;0;0
Nokia;2019;536;351552;84347;0;3203;0;9102;249770;0;0;-370;5500;0;0;0
Orivesi;2019;562;617;617;0;0;0;0;0;0;0;0;0;0;0;0
Pirkkala;2019;604;29600;0;0;0;0;29600;0;0;0;0;0;0;0;0
Tampere;2019;837;357735;342349;9320;11868;0;17770;-24045;-117;0;0;590;0;0;0
Vesilahti;2019;922;66092;8220;0;0;0;0;57472;0;0;0;400;0;0;0
