nro,kid,Nimi,vuosi,vero_pro,evlut_pro,orto_pro
116,301,Kurikka,2023,"8,36","1,70","2,00"
117,304,Kustavi,2023,"5,36","1,80","1,75"
118,305,Kuusamo,2023,"7,36","1,55","2,10"
119,312,Kyyjärvi,2023,"9,86","1,75","1,95"
120,316,Kärkölä,2023,"9,36","1,70","1,80"
121,317,Kärsämäki,2023,"8,86","1,80","2,00"
122,318,Kökar,2023,"19,75","2,00","1,75"
123,398,Lahti,2023,"8,11","1,45","1,80"
124,399,Laihia,2023,"9,11","1,50","2,00"
125,400,Laitila,2023,"8,11","1,60","1,75"
126,407,Lapinjärvi,2023,"8,86","1,65","1,85"
127,402,Lapinlahti,2023,"8,61","1,65","2,00"
128,403,Lappajärvi,2023,"9,36","1,70","2,00"
129,405,Lappeenranta,2023,"8,36","1,40","1,85"
130,408,Lapua,2023,"8,86","1,75","2,00"
131,410,Laukaa,2023,"8,86","1,75","1,95"
132,416,Lemi,2023,"9,36","1,75","1,85"
133,417,Lemland,2023,"17,50","1,70","1,75"
134,418,Lempäälä,2023,"7,86","1,45","2,00"
135,420,Leppävirta,2023,"8,36","1,60","1,95"
136,421,Lestijärvi,2023,"8,36","1,90","2,00"
137,422,Lieksa,2023,"8,36","1,55","2,00"
138,423,Lieto,2023,"6,86","1,30","1,75"
139,425,Liminka,2023,"8,86","1,70","2,10"
140,426,Liperi,2023,"8,86","1,60","1,85"
141,444,Lohja,2023,"7,86","1,50","1,80"
142,430,Loimaa,2023,"8,36","1,55","1,75"
143,433,Loppi,2023,"8,86","1,70","1,80"
144,434,Loviisa,2023,"7,61","1,65","1,85"
145,435,Luhanka,2023,"5,86","2,00","1,95"
146,436,Lumijoki,2023,"8,36","1,95","2,10"
147,438,Lumparland,2023,"19,50","1,70","1,75"
148,440,Luoto,2023,"7,36","1,90","2,00"
149,441,Luumäki,2023,"8,36","1,70","1,85"
150,475,Maalahti,2023,"8,86","1,90","2,00"
151,478,Maarianhamina,2023,"17,00","1,55","1,75"
152,480,Marttila,2023,"8,11","1,35","1,75"
153,481,Masku,2023,"8,11","1,60","1,75"
154,483,Merijärvi,2023,"9,86","1,75","2,10"
155,484,Merikarvia,2023,"7,86","1,90","2,00"
156,489,Miehikkälä,2023,"8,86","1,55","1,85"
157,491,Mikkeli,2023,"9,36","1,45","1,95"
158,494,Muhos,2023,"9,36","1,55","2,10"
159,495,Multia,2023,"9,36","1,80","1,95"
160,498,Muonio,2023,"8,86","1,65","2,10"
161,499,Mustasaari,2023,"8,11","1,85","2,00"
162,500,Muurame,2023,"6,86","1,55","1,95"
163,503,Mynämäki,2023,"8,61","1,65","1,75"
164,504,Myrskylä,2023,"8,86","1,85","1,85"
165,505,Mäntsälä,2023,"8,36","1,25","1,80"
166,508,Mänttä-Vilppula,2023,"9,86","1,80","2,00"
167,507,Mäntyharju,2023,"8,11","1,90","1,95"
168,529,Naantali,2023,"6,36","1,35","1,75"
169,531,Nakkila,2023,"9,11","1,65","2,00"
170,535,Nivala,2023,"9,36","1,75","2,00"
171,536,Nokia,2023,"8,36","1,50","2,00"
172,538,Nousiainen,2023,"8,86","1,55","1,75"
173,541,Nurmes,2023,"8,36","1,70","1,85"
174,543,Nurmijärvi,2023,"7,11","1,45","1,80"
175,545,Närpiö,2023,"8,36","1,50","2,00"
176,560,Orimattila,2023,"8,61","1,75","1,80"
177,561,Oripää,2023,"8,36","1,70","1,75"
178,562,Orivesi,2023,"9,36","1,75","2,00"
179,563,Oulainen,2023,"9,36","1,75","2,10"
180,564,Oulu,2023,"7,86","1,30","2,10"
181,309,Outokumpu,2023,"8,86","1,65","1,85"
182,576,Padasjoki,2023,"8,36","1,70","1,80"
183,577,Paimio,2023,"8,11","1,45","1,75"
184,578,Paltamo,2023,"9,36","1,65","2,10"
185,445,Parainen,2023,"7,86","1,50","1,75"
186,580,Parikkala,2023,"8,86","1,70","1,85"
187,581,Parkano,2023,"9,36","1,70","2,00"
188,599,Pedersören kunta,2023,"8,36","1,80","2,00"
189,583,Pelkosenniemi,2023,"9,36","1,90","2,10"
190,854,Pello,2023,"8,61","1,60","2,10"
191,584,Perho,2023,"8,86","1,90","2,00"
192,588,Pertunmaa,2023,"8,86","1,90","1,95"
193,592,Petäjävesi,2023,"9,11","1,85","1,95"
194,593,Pieksämäki,2023,"9,36","1,45","1,95"
195,595,Pielavesi,2023,"9,11","1,65","2,00"
196,598,Pietarsaari,2023,"8,61","1,80","2,00"
197,601,Pihtipudas,2023,"8,36","1,80","1,95"
198,604,Pirkkala,2023,"7,86","1,40","2,00"
199,607,Polvijärvi,2023,"7,61","1,65","1,85"
200,608,Pomarkku,2023,"8,86","1,50","2,00"
201,609,Pori,2023,"8,36","1,50","2,00"
202,611,Pornainen,2023,"7,86","1,75","1,80"
203,638,Porvoo,2023,"7,11","1,40","1,80"
